region;city;id;href;region_code;
Хабаровский край;Комсомольск-на-Амуре;781;/banks/Habarovskiy_kray/Komsomol~sk-na-Amure/;27;
Республика Карелия;Петрозаводск;270;/banks/Petrozavodsk/;10;
Ростовская область;Таганрог;347;/banks/Rostovskaya_oblast~/Taganrog/;61;
Ханты-Мансийский автономный округ;Нижневартовск;567;/banks/Hantyi-Mansiyskiy_avtonomnyiy_okrug/Nizhnevartovsk/;86;
Республика Марий Эл;Йошкар-Ола;394;/banks/Yosshkar-Ola/;12;
Иркутская область;Братск;627;/banks/Irkutskaya_oblast~/Bratsk/list/;38;
Краснодарский край;Новороссийск;321;/banks/Krasnodarskiy_kray/Novorossiysk/;23;
Нижегородская область;Дзержинск;397;/banks/Nizhegorodskaya_oblast~/Dzerzhinsk/;52;
Ростовская область;Шахты;350;/banks/Rostovskaya_oblast~/Shahtyi/;61;
Кабардино-Балкарская Республика;Нальчик;799;/banks/Nal~chik/list/;7;
Оренбургская область;Орск;420;/banks/Orenburgskaya_oblast~/Orsk/;56;
Республика Коми;Сыктывкар;278;/banks/Syiktyivkar/;11;
Республика Татарстан;Нижнекамск;483;/banks/Respublika_Tatarstan/Nizhnekamsk/;16;
Республика Татарстан;Нижнекамск;483;/banks/Respublika_Tatarstan/Nizhnekamsk/;16;
Иркутская область;Ангарск;628;/banks/Irkutskaya_oblast~/Angarsk/list/;38;
Белгородская область;Старый Оскол;93;/banks/Belgorodskaya_oblast~/Staryiy_Oskol/list/;31;
Новгородская область;Великий Новгород;2398;/banks/Velikiy_Novgorod/;53;
Москва и область;Балашиха;9;/banks/Moskva_i_oblast~/Balasshiha/;50;
Амурская область;Благовещенск;718;/banks/Blagovesschensk/list/;28;
Кемеровская область;Прокопьевск;651;/banks/Kemerovskaya_oblast~/Prokop~evsk/list/;42;
Алтайский край;Бийск;621;/banks/Altayskiy_kray/Biysk/list/;22;
Москва и область;Химки;77;/banks/Moskva_i_oblast~/Himki/;50;
Псковская область;Псков;267;/banks/Pskov/;60;
Саратовская область;Энгельс;500;/banks/Saratovskaya_oblast~/Jengel~s/;64;
Ярославская область;Рыбинск;201;/banks/Yaroslavskaya_oblast~/Ryibinsk/;76;
Саратовская область;Балаково;499;/banks/Saratovskaya_oblast~/Balakovo/;64;
Архангельская область;Северодвинск;233;/banks/Arhangel~skaya_oblast~/Severodvinsk/list/;29;
Краснодарский край;Армавир;324;/banks/Krasnodarskiy_kray/Armavir/;23;
Москва и область;Подольск;16;/banks/Moskva_i_oblast~/Podol~sk/;50;
Москва и область;Королев;22;/banks/Moskva_i_oblast~/Korolev/;50;
Сахалинская область;Южно-Сахалинск;778;/banks/Yuzhno-Sahalinsk/;65;
Камчатский край;Петропавловск-Камчатский;729;/banks/Petropavlovsk-Kamchatskiy/list/;41;
Самарская область;Сызрань;492;/banks/Samarskaya_oblast~/Syizran~/;63;
Красноярский край;Норильск;660;/banks/Krasnoyarskiy_kray/Noril~sk/;24;
Челябинская область;Златоуст;588;/banks/Chelyabinskaya_oblast~/Zlatoust/;74;
Свердловская область;Каменск-Уральский;533;/banks/Sverdlovskaya_oblast~/Kamensk-Ural~skiy/;66;
Москва и область;Мытищи;67;/banks/Moskva_i_oblast~/Myitisschi/;50;
Москва и область;Люберцы;54;/banks/Moskva_i_oblast~/Lyubertssyi/;50;
Ростовская область;Волгодонск;348;/banks/Rostovskaya_oblast~/Volgodonsk/;61;
Ростовская область;Новочеркасск;346;/banks/Rostovskaya_oblast~/Novocherkassk/;61;
Республика Хакасия;Абакан;691;/banks/Abakan/;19;
Приморский край;Находка;736;/banks/Primorskiy_kray/Nahodka/;25;
Приморский край;Уссурийск;737;/banks/Primorskiy_kray/Ussuriysk/;25;
Пермский край;Березники;434;/banks/Permskiy_kray/Berezniki/;59;
Республика Башкортостан;Салават;461;/banks/Respublika_Basshkortostan/Salavat/;2;
Москва и область;Электросталь;81;/banks/Moskva_i_oblast~/Jelektrostal~/;50;
Челябинская область;Миасс;582;/banks/Chelyabinskaya_oblast~/Miass/;74;
Алтайский край;Рубцовск;624;/banks/Altayskiy_kray/Rubtssovsk/list/;22;
Республика Татарстан;Альметьевск;481;/banks/Respublika_Tatarstan/Al~met~evsk/;16;
Республика Татарстан;Альметьевск;481;/banks/Respublika_Tatarstan/Al~met~evsk/;16;
Владимирская область;Ковров;107;/banks/Vladimirskaya_oblast~/Kovrov/list/;33;
Москва и область;Коломна;12;/banks/Moskva_i_oblast~/Kolomna/;50;
Республика Адыгея;Майкоп;340;/banks/Maykop/;1;
Ставропольский край;Пятигорск;818;/banks/Stavropol~skiy_kray/Pyatigorsk/;26;
Москва и область;Одинцово;68;/banks/Moskva_i_oblast~/Odintssovo/;50;
Челябинская область;Копейск;590;/banks/Chelyabinskaya_oblast~/Kopeysk/;74;
Республика Дагестан;Хасавюрт;792;/banks/Respublika_Dagestan/Hasavyurt/;5;
Москва и область;Железнодорожный;25;/banks/Moskva_i_oblast~/Zheleznodorozhnyiy/;50;
Тульская область;Новомосковск;195;/banks/Tul~skaya_oblast~/Novomoskovsk/;71;
Ставропольский край;Кисловодск;815;/banks/Stavropol~skiy_kray/Kislovodsk/;26;
Москва и область;Серпухов;19;/banks/Moskva_i_oblast~/Serpuhov/;50;
Свердловская область;Первоуральск;535;/banks/Sverdlovskaya_oblast~/Pervoural~sk/;66;
Чувашская Республика;Новочебоксарск;518;/banks/Chuvasshskaya_Respublika/Novocheboksarsk/;21;
Ханты-Мансийский автономный округ;Нефтеюганск;568;/banks/Hantyi-Mansiyskiy_avtonomnyiy_okrug/Nefteyugansk/;86;
Республика Башкортостан;Нефтекамск;460;/banks/Respublika_Basshkortostan/Neftekamsk/;2;
Карачаево-Черкесская Республика;Черкесск;803;/banks/Cherkessk/list/;9;
Москва и область;Орехово-Зуево;15;/banks/Moskva_i_oblast~/Orehovo-Zuevo/;50;
Республика Дагестан;Дербент;2780;/banks/Respublika_Dagestan/Derbent/;5;
Волгоградская область;Камышин;294;/banks/Volgogradskaya_oblast~/Kamyisshin/list/;34;
Ставропольский край;Невинномысск;817;/banks/Stavropol~skiy_kray/Nevinnomyissk/;26;
Москва и область;Красногорск;13;/banks/Moskva_i_oblast~/Krasnogorsk/;50;
Владимирская область;Муром;108;/banks/Vladimirskaya_oblast~/Murom/list/;33;
Ростовская область;Батайск;353;/banks/Rostovskaya_oblast~/Bataysk/;61;
Ростовская область;Новошахтинск;373;/banks/Rostovskaya_oblast~/Novosshahtinsk/;61;
Москва и область;Сергиев Посад;18;/banks/Moskva_i_oblast~/Sergiev_Posad/;50;
Ямало-Ненецкий автономный округ;Ноябрьск;605;/banks/Yamalo-Nenetsskiy_avtonomnyiy_okrug/Noyabr~sk/;89;
Москва и область;Щелково;20;/banks/Moskva_i_oblast~/Schelkovo/;50;
Республика Тыва;Кызыл;618;/banks/Kyizyil/;17;
Республика Башкортостан;Октябрьский;463;/banks/Respublika_Basshkortostan/Oktyabr~skiy/;2;
Красноярский край;Ачинск;658;/banks/Krasnoyarskiy_kray/Achinsk/;24;
Томская область;Северск;696;/banks/Tomskaya_oblast~/Seversk/;70;
Самарская область;Новокуйбышевск;495;/banks/Samarskaya_oblast~/Novokuybyisshevsk/;63;
Липецкая область;Елец;160;/banks/Lipetsskaya_oblast~/Eletss/;48;
Нижегородская область;Арзамас;404;/banks/Nizhegorodskaya_oblast~/Arzamas/;52;
Калужская область;Обнинск;141;/banks/Kaluzhskaya_oblast~/Obninsk/list/;40;
Ямало-Ненецкий автономный округ;Новый Уренгой;604;/banks/Yamalo-Nenetsskiy_avtonomnyiy_okrug/Novyiy_Urengoy/;89;
Республика Дагестан;Каспийск;793;/banks/Respublika_Dagestan/Kaspiysk/;5;
Республика Калмыкия;Элиста;343;/banks/Jelista/;8;
Москва и область;Пушкино;66;/banks/Moskva_i_oblast~/Pusshkino/;50;
Москва и область;Жуковский;21;/banks/Moskva_i_oblast~/Zhukovskiy/;50;
Приморский край;Артем;741;/banks/Primorskiy_kray/Artem/;25;
Кемеровская область;Междуреченск;642;/banks/Kemerovskaya_oblast~/Mezhdurechensk/list/;42;
Кемеровская область;Ленинск-Кузнецкий;649;/banks/Kemerovskaya_oblast~/Leninsk-Kuznetsskiy/list/;42;
Удмуртская Республика;Сарапул;510;/banks/Udmurtskaya_Respublika/Sarapul/;18;
Удмуртская Республика;Сарапул;510;/banks/Udmurtskaya_Respublika/Sarapul/;18;
Ставропольский край;Ессентуки;814;/banks/Stavropol~skiy_kray/Essentuki/;26;
Удмуртская Республика;Воткинск;512;/banks/Udmurtskaya_Respublika/Votkinsk/;18;
Удмуртская Республика;Воткинск;512;/banks/Udmurtskaya_Respublika/Votkinsk/;18;
Москва и область;Ногинск;62;/banks/Moskva_i_oblast~/Noginsk/;50;
Тюменская область;Тобольск;563;/banks/Tyumenskaya_oblast~/Tobol~sk/;72;
Республика Коми;Ухта;281;/banks/Respublika_Komi/Uhta/;11;
Свердловская область;Серов;559;/banks/Sverdlovskaya_oblast~/Serov/;66;
Псковская область;Великие Луки;268;/banks/Pskovskaya_oblast~/Velikie_Luki/;60;
Тамбовская область;Мичуринск;183;/banks/Tambovskaya_oblast~/Michurinsk/;68;
Кемеровская область;Киселевск;648;/banks/Kemerovskaya_oblast~/Kiselevsk/list/;42;
Оренбургская область;Новотроицк;424;/banks/Orenburgskaya_oblast~/Novotroitssk/;56;
Республика Татарстан;Зеленодольск;2886;/banks/Respublika_Tatarstan/Zelenodol~sk/;16;
Республика Татарстан;Зеленодольск;2886;/banks/Respublika_Tatarstan/Zelenodol~sk/;16;
Новосибирская область;Бердск;674;/banks/Novosibirskaya_oblast~/Berdsk/;54;
Пермский край;Соликамск;453;/banks/Permskiy_kray/Solikamsk/;59;
Москва и область;Раменское;17;/banks/Moskva_i_oblast~/Ramenskoe/;50;
Москва и область;Домодедово;85;/banks/Moskva_i_oblast~/Domodedovo/;50;
Магаданская область;Магадан;733;/banks/Magadan/;49;
Удмуртская Республика;Глазов;509;/banks/Udmurtskaya_Respublika/Glazov/;18;
Удмуртская Республика;Глазов;509;/banks/Udmurtskaya_Respublika/Glazov/;18;
Ростовская область;Каменск-Шахтинский;349;/banks/Rostovskaya_oblast~/Kamensk-Shahtinskiy/;61;
Курская область;Железногорск;153;/banks/Kurskaya_oblast~/Zheleznogorsk/;46;
Красноярский край;Канск;664;/banks/Krasnoyarskiy_kray/Kansk/;24;
Республика Ингушетия;Назрань;796;/banks/Respublika_Ingusshetiya/Nazran~/;6;
Санкт-Петербург и область;Гатчина;215;/banks/Sankt-Peterburg_i_oblast~/Gatchina/;47;
Нижегородская область;Саров;398;/banks/Nizhegorodskaya_oblast~/Sarov/;52;
Москва и область;Воскресенск;10;/banks/Moskva_i_oblast~/Voskresensk/;50;
Москва и область;Долгопрудный;5;/banks/Moskva_i_oblast~/Dolgoprudnyiy/;50;
Республика Татарстан;Бугульма;482;/banks/Respublika_Tatarstan/Bugul~ma/;16;
Республика Татарстан;Бугульма;482;/banks/Respublika_Tatarstan/Bugul~ma/;16;
Пензенская область;Кузнецк;430;/banks/Penzenskaya_oblast~/Kuznetssk/;58;
Белгородская область;Губкин;97;/banks/Belgorodskaya_oblast~/Gubkin/list/;31;
Ивановская область;Кинешма;137;/banks/Ivanovskaya_oblast~/Kinesshma/list/;37;
Краснодарский край;Ейск;325;/banks/Krasnodarskiy_kray/Eysk/;23;
Москва и область;Реутов;41;/banks/Moskva_i_oblast~/Reutov/;50;
Иркутская область;Усть-Илимск;629;/banks/Irkutskaya_oblast~/Ust~-Ilimsk/list/;38;
Красноярский край;Железногорск;661;/banks/Krasnoyarskiy_kray/Zheleznogorsk/;24;
Свердловская область;Новоуральск;554;/banks/Sverdlovskaya_oblast~/Novoural~sk/;66;
Иркутская область;Усолье-Сибирское;4033;/banks/Irkutskaya_oblast~/Usol~e-Sibirskoe/list/;38;
Пермский край;Чайковский;455;/banks/Permskiy_kray/Chaykovskiy/;59;
Ростовская область;Азов;354;/banks/Rostovskaya_oblast~/Azov/;61;
Оренбургская область;Бузулук;423;/banks/Orenburgskaya_oblast~/Buzuluk/;56;
Челябинская область;Озерск;583;/banks/Chelyabinskaya_oblast~/Ozersk/;74;
Саратовская область;Балашов;502;/banks/Saratovskaya_oblast~/Balasshov/;64;
Кемеровская область;Юрга;655;/banks/Kemerovskaya_oblast~/Yurga/list/;42;
Кировская область;Кирово-Чепецк;389;/banks/Kirovskaya_oblast~/Kirovo-Chepetssk/;43;
Краснодарский край;Кропоткин;3144;/banks/Krasnodarskiy_kray/Kropotkin/;23;
Москва и область;Клин;45;/banks/Moskva_i_oblast~/Klin/;50;
Санкт-Петербург и область;Выборг;212;/banks/Sankt-Peterburg_i_oblast~/Vyiborg/;47;
Ханты-Мансийский автономный округ;Ханты-Мансийск;565;/banks/Hantyi-Mansiysk/;86;
Челябинская область;Троицк;595;/banks/Chelyabinskaya_oblast~/Troitssk/;74;
Нижегородская область;Бор;406;/banks/Nizhegorodskaya_oblast~/Bor/;52;
Курганская область;Шадринск;529;/banks/Kurganskaya_oblast~/Shadrinsk/;45;
Кемеровская область;Белово;646;/banks/Kemerovskaya_oblast~/Belovo/list/;42;
Ставропольский край;Минеральные Воды;816;/banks/Stavropol~skiy_kray/Mineral~nyie_Vodyi/;26;
Кемеровская область;Анжеро-Судженск;644;/banks/Kemerovskaya_oblast~/Anzhero-Sudzhensk/list/;42;
Еврейская автономная область;Биробиджан;713;/banks/Birobidzhan/list/;79;
Москва и область;Лобня;46;/banks/Moskva_i_oblast~/Lobnya/;50;
Самарская область;Чапаевск;496;/banks/Samarskaya_oblast~/Chapaevsk/;63;
Ставропольский край;Георгиевск;821;/banks/Stavropol~skiy_kray/Georgievsk/;26;
Республика Хакасия;Черногорск;693;/banks/Respublika_Hakasiya/Chernogorsk/;19;
Красноярский край;Минусинск;659;/banks/Krasnoyarskiy_kray/Minusinsk/;24;
Ставропольский край;Михайловск;3318;/banks/Stavropol~skiy_kray/Mihaylovsk/;26;
Республика Татарстан;Елабуга;487;/banks/Respublika_Tatarstan/Elabuga/;16;
Республика Татарстан;Елабуга;487;/banks/Respublika_Tatarstan/Elabuga/;16;
Москва и область;Дубна;6;/banks/Moskva_i_oblast~/Dubna/;50;
Республика Коми;Воркута;279;/banks/Respublika_Komi/Vorkuta/;11;
Алтайский край;Новоалтайск;3444;/banks/Altayskiy_kray/Novoaltaysk/list/;22;
Москва и область;Егорьевск;83;/banks/Moskva_i_oblast~/Egor~evsk/;50;
Свердловская область;Асбест;539;/banks/Sverdlovskaya_oblast~/Asbest/;66;
Республика Башкортостан;Белорецк;466;/banks/Respublika_Basshkortostan/Beloretssk/;2;
Амурская область;Белогорск;719;/banks/Amurskaya_oblast~/Belogorsk/list/;28;
Ростовская область;Гуково;356;/banks/Rostovskaya_oblast~/Gukovo/;61;
Москва и область;Ступино;73;/banks/Moskva_i_oblast~/Stupino/;50;
Республика Башкортостан;Туймазы;470;/banks/Respublika_Basshkortostan/Tuymazyi/;2;
Нижегородская область;Кстово;400;/banks/Nizhegorodskaya_oblast~/Kstovo/;52;
Саратовская область;Вольск;503;/banks/Saratovskaya_oblast~/Vol~sk/;64;
Республика Башкортостан;Ишимбай;468;/banks/Respublika_Basshkortostan/Isshimbay/;2;
Пермский край;Кунгур;445;/banks/Permskiy_kray/Kungur/;59;
Пермский край;Лысьва;447;/banks/Permskiy_kray/Lyis~va/;59;
Санкт-Петербург и область;Сосновый Бор;217;/banks/Sankt-Peterburg_i_oblast~/Sosnovyiy_Bor/;47;
Республика Дагестан;Буйнакск;2781;/banks/Respublika_Dagestan/Buynaksk/;5;
Тюменская область;Ишим;562;/banks/Tyumenskaya_oblast~/Isshim/;72;
Москва и область;Наро-Фоминск;57;/banks/Moskva_i_oblast~/Naro-Fominsk/;50;
Ставропольский край;Буденновск;820;/banks/Stavropol~skiy_kray/Budennovsk/;26;
Тульская область;Донской;2808;/banks/Tul~skaya_oblast~/Donskoy/;71;
Свердловская область;Полевской;555;/banks/Sverdlovskaya_oblast~/Polevskoy/;66;
Республика Татарстан;Лениногорск;485;/banks/Respublika_Tatarstan/Leninogorsk/;16;
Республика Татарстан;Лениногорск;485;/banks/Respublika_Tatarstan/Leninogorsk/;16;
Москва и область;Павловский Посад;56;/banks/Moskva_i_oblast~/Pavlovskiy_Posad/;50;
Краснодарский край;Славянск-на-Кубани;334;/banks/Krasnodarskiy_kray/Slavyansk-na-Kubani/;23;
Пензенская область;Заречный;429;/banks/Penzenskaya_oblast~/Zarechnyiy/;58;
Краснодарский край;Туапсе;322;/banks/Krasnodarskiy_kray/Tuapse/;23;
Республика Башкортостан;Кумертау;467;/banks/Respublika_Basshkortostan/Kumertau/;2;
Краснодарский край;Лабинск;3189;/banks/Krasnodarskiy_kray/Labinsk/;23;
Республика Башкортостан;Сибай;469;/banks/Respublika_Basshkortostan/Sibay/;2;
Брянская область;Клинцы;3044;/banks/Bryanskaya_oblast~/Klintssyi/list/;32;
Тверская область;Ржев;3714;/banks/Tverskaya_oblast~/Rzhev/;69;
Свердловская область;Ревда;543;/banks/Sverdlovskaya_oblast~/Revda/;66;
Краснодарский край;Тихорецк;336;/banks/Krasnodarskiy_kray/Tihoretssk/;23;
Республика Саха (Якутия);Нерюнгри;768;/banks/Respublika_Saha_(Yakutiya)/Neryungri/;14;
Тульская область;Алексин;197;/banks/Tul~skaya_oblast~/Aleksin/;71;
Владимирская область;Александров;110;/banks/Vladimirskaya_oblast~/Aleksandrov/list/;33;
Москва и область;Дмитров;11;/banks/Moskva_i_oblast~/Dmitrov/;50;
Республика Башкортостан;Мелеуз;3300;/banks/Respublika_Basshkortostan/Meleuz/;2;
Ростовская область;Сальск;375;/banks/Rostovskaya_oblast~/Sal~sk/;61;
Красноярский край;Лесосибирск;667;/banks/Krasnoyarskiy_kray/Lesosibirsk/;24;
Владимирская область;Гусь-Хрустальный;2763;/banks/Vladimirskaya_oblast~/Gus~-Hrustal~nyiy/list/;33;
Республика Татарстан;Чистополь;3359;/banks/Respublika_Tatarstan/Chistopol~/;16;
Республика Татарстан;Чистополь;3359;/banks/Respublika_Tatarstan/Chistopol~/;16;
Нижегородская область;Павлово;412;/banks/Nizhegorodskaya_oblast~/Pavlovo/;52;
Москва и область;Чехов;87;/banks/Moskva_i_oblast~/Chehov/;50;
Архангельская область;Котлас;4080;/banks/Arhangel~skaya_oblast~/Kotlas/list/;29;
Республика Башкортостан;Белебей;2525;/banks/Respublika_Basshkortostan/Belebey/;2;
Новосибирская область;Искитим;676;/banks/Novosibirskaya_oblast~/Iskitim/;54;
Свердловская область;Верхняя Пышма;540;/banks/Sverdlovskaya_oblast~/Verhnyaya_Pyisshma/;66;
Свердловская область;Краснотурьинск;546;/banks/Sverdlovskaya_oblast~/Krasnotur~insk/;66;
Мурманская область;Апатиты;253;/banks/Murmanskaya_oblast~/Apatityi/;51;
Санкт-Петербург и область;Всеволожск;214;/banks/Sankt-Peterburg_i_oblast~/Vsevolozhsk/;47;
Кабардино-Балкарская Республика;Прохладный;3685;/banks/Kabardino-Balkarskaya_Respublika/Prohladnyiy/list/;7;
Волгоградская область;Михайловка;305;/banks/Volgogradskaya_oblast~/Mihaylovka/list/;34;
Краснодарский край;Анапа;323;/banks/Krasnodarskiy_kray/Anapa/;23;
Санкт-Петербург и область;Тихвин;218;/banks/Sankt-Peterburg_i_oblast~/Tihvin/;47;
Амурская область;Свободный;722;/banks/Amurskaya_oblast~/Svobodnyiy/list/;28;
Москва и область;Ивантеевка;26;/banks/Moskva_i_oblast~/Ivanteevka/;50;
Ивановская область;Шуя;4178;/banks/Ivanovskaya_oblast~/Shuya/list/;37;
Ханты-Мансийский автономный округ;Когалым;572;/banks/Hantyi-Mansiyskiy_avtonomnyiy_okrug/Kogalyim/;86;
Тульская область;Щекино;4180;/banks/Tul~skaya_oblast~/Schekino/;71;
Краснодарский край;Крымск;332;/banks/Krasnodarskiy_kray/Kryimsk/;23;
Смоленская область;Вязьма;173;/banks/Smolenskaya_oblast~/Vyaz~ma/;67;
Республика Алтай;Горно-Алтайск;615;/banks/Gorno-Altaysk/;4;
Москва и область;Видное;30;/banks/Moskva_i_oblast~/Vidnoe/;50;
Приморский край;Арсеньев;740;/banks/Primorskiy_kray/Arsen~ev/;25;
Республика Дагестан;Избербаш;790;/banks/Respublika_Dagestan/Izberbassh/;5;
Нижегородская область;Выкса;399;/banks/Nizhegorodskaya_oblast~/Vyiksa/;52;
Москва и область;Климовск;27;/banks/Moskva_i_oblast~/Klimovsk/;50;
Республика Марий Эл;Волжск;393;/banks/Respublika_Mariy_Jel/Volzhsk/;12;
Забайкальский край;Краснокаменск;702;/banks/Zabaykal~skiy_kray/Krasnokamensk/list/;75;
Самарская область;Жигулевск;491;/banks/Samarskaya_oblast~/Zhigulevsk/;63;
Москва и область;Фрязино;23;/banks/Moskva_i_oblast~/Fryazino/;50;
Тульская область;Узловая;4012;/banks/Tul~skaya_oblast~/Uzlovaya/;71;
Москва и область;Лыткарино;53;/banks/Moskva_i_oblast~/Lyitkarino/;50;
Ханты-Мансийский автономный округ;Нягань;3352;/banks/Hantyi-Mansiyskiy_avtonomnyiy_okrug/Nyagan~/;86;
Смоленская область;Рославль;174;/banks/Smolenskaya_oblast~/Roslavl~/;67;
Краснодарский край;Геленджик;329;/banks/Krasnodarskiy_kray/Gelendzhik/;23;
Краснодарский край;Тимашевск;335;/banks/Krasnodarskiy_kray/Timasshevsk/;23;
Краснодарский край;Белореченск;328;/banks/Krasnodarskiy_kray/Belorechensk/;23;
Новгородская область;Боровичи;263;/banks/Novgorodskaya_oblast~/Borovichi/;53;
Москва и область;Солнечногорск;70;/banks/Moskva_i_oblast~/Solnechnogorsk/;50;
Красноярский край;Назарово;3383;/banks/Krasnoyarskiy_kray/Nazarovo/;24;
Санкт-Петербург и область;Кириши;216;/banks/Sankt-Peterburg_i_oblast~/Kirisshi/;47;
Иркутская область;Черемхово;4119;/banks/Irkutskaya_oblast~/Cheremhovo/list/;38;
Тверская область;Вышний Волочек;188;/banks/Tverskaya_oblast~/Vyisshniy_Volochek/;69;
Пермский край;Краснокамск;443;/banks/Permskiy_kray/Krasnokamsk/;59;
Свердловская область;Березовский;542;/banks/Sverdlovskaya_oblast~/Berezovskiy/;66;
Нижегородская область;Балахна;403;/banks/Nizhegorodskaya_oblast~/Balahna/;52;
Орловская область;Ливны;3215;/banks/Orlovskaya_oblast~/Livnyi/;57;
Свердловская область;Лесной;550;/banks/Sverdlovskaya_oblast~/Lesnoy/;66;
Ростовская область;Донецк;2807;/banks/Rostovskaya_oblast~/Donetssk/;61;
Мурманская область;Североморск;3761;/banks/Murmanskaya_oblast~/Severomorsk/;51;
Республика Хакасия;Саяногорск;692;/banks/Respublika_Hakasiya/Sayanogorsk/;19;
Оренбургская область;Бугуруслан;2614;/banks/Orenburgskaya_oblast~/Buguruslan/;56;
Тверская область;Кимры;189;/banks/Tverskaya_oblast~/Kimryi/;69;
Ханты-Мансийский автономный округ;Мегион;574;/banks/Hantyi-Mansiyskiy_avtonomnyiy_okrug/Megion/;86;
